"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","type"
"139",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,"medium","r"
"140",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,"medium","r"
"141",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,"medium","r"
"142",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,"medium","r"
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"medium","r"
"144",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,"medium","r"
"145",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,"medium","r"
"146",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,"medium","r"
"147",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,"medium","r"
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,"medium","r"
"149",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,"medium","r"
"150",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,"medium","r"
"151",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,"medium","r"
"152",9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"poor","r"
"153",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"medium","r"
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,"medium","r"
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"medium","r"
"156",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"medium","r"
"157",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,"medium","r"
"158",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,"medium","r"
"159",7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,"medium","r"
"160",6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,"medium","r"
"161",7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,"medium","r"
"162",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"poor","r"
"163",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,"medium","r"
"164",7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,"medium","r"
"165",7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,"medium","r"
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,"medium","r"
"167",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,"medium","r"
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"poor","r"
"169",6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,"medium","r"
"170",7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,"medium","r"
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,"poor","r"
"172",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,"medium","r"
"173",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,"medium","r"
"174",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,"medium","r"
"175",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"medium","r"
"176",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,"medium","r"
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,"medium","r"
"178",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,"medium","r"
"179",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"medium","r"
"180",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"medium","r"
"181",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,"medium","r"
"182",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,"medium","r"
"183",7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"medium","r"
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,"medium","r"
"185",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,"medium","r"
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,"medium","r"
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,"medium","r"
"188",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,"medium","r"
"189",7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,"medium","r"
"190",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,"medium","r"
"191",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,"medium","r"
"192",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,"medium","r"
"193",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,"medium","r"
"194",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"medium","r"
"195",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,"medium","r"
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,"medium","r"
"197",7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,"medium","r"
"198",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,"medium","r"
"199",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,"good","r"
"200",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,"poor","r"
"201",9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,"good","r"
"202",8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,"medium","r"
"203",6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,"medium","r"
"204",7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,"medium","r"
"205",7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,"medium","r"
"206",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"good","r"
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,"good","r"
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,"medium","r"
"209",7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,"medium","r"
"210",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,"good","r"
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,"medium","r"
"212",8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,"medium","r"
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,"medium","r"
"214",8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,"medium","r"
"215",7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,"medium","r"
"216",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,"medium","r"
"217",8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,"medium","r"
"218",8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,"medium","r"
"219",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,"medium","r"
"220",7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,"medium","r"
"221",7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,"medium","r"
"222",7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,"medium","r"
"223",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,"medium","r"
"224",8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,"medium","r"
"225",8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,"poor","r"
"226",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,"medium","r"
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,"medium","r"
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,"medium","r"
"229",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,"medium","r"
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,"medium","r"
"231",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,"good","r"
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,"medium","r"
"233",8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,"medium","r"
"234",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,"medium","r"
"235",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,"medium","r"
"236",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"medium","r"
"237",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"medium","r"
"238",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,"medium","r"
"239",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,"medium","r"
"240",8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,"medium","r"
"241",8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,"medium","r"
"242",12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,"medium","r"
"243",7.7,0.58,0.1,1.8,0.102,28,109,0.99565,3.08,0.49,9.8,"medium","r"
"244",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"good","r"
"245",15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,"good","r"
"246",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,"medium","r"
"247",7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,"medium","r"
"248",8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,"medium","r"
"249",7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,"medium","r"
"250",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,"medium","r"
"251",10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,"medium","r"
"252",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,"medium","r"
"253",11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,"medium","r"
"254",7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,"medium","r"
"255",7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,"medium","r"
"256",8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,"medium","r"
"257",9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,"medium","r"
"258",6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,"medium","r"
"259",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,"medium","r"
"260",10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,"good","r"
"261",7.9,0.33,0.23,1.7,0.077,18,45,0.99625,3.29,0.65,9.3,"medium","r"
"262",7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,"poor","r"
"263",8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,"medium","r"
"264",7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,"medium","r"
"265",12.5,0.56,0.49,2.4,0.064,5,27,0.9999,3.08,0.87,10.9,"medium","r"
"266",11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,"good","r"
"267",8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"poor","r"
"268",7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,"good","r"
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"medium","r"
"270",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"medium","r"
"271",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,"medium","r"
"272",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"medium","r"
"273",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,"medium","r"
"274",8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,"medium","r"
"275",7.5,0.65,0.18,7,0.088,27,94,0.99915,3.38,0.77,9.4,"medium","r"
"276",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,"medium","r"
"277",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"medium","r"
